m;n;err_count;population_size;iteration_cycles_count;mutation_probability;number_of_parents_left_in_the_population;reproductive_pressure;number_of_extension_of_the_child;dlugosc_seq_opt;SredniaBestValue;SredniaTimeMs
6;10;0;50;100;0,01;0,2;2;5;16;15,3;99,6
30;80;0;100;200;0,01;0,2;5;5;140;201,6;175409,9
30;80;0;100;100;0,01;0,2;5;5;140;203,7;91658
30;80;0;100;100;0,01;0,2;6;5;140;203,2;92463,5
30;80;0;50;50;0,01;0,2;5;5;140;207,9;24210,8
30;80;0;50;50;0,01;0,2;6;5;140;207,2;23107,7
30;80;0;50;50;0,01;0,2;7;5;140;205,8;23113,2
30;80;0;50;50;0,01;0,2;8;5;140;207,1;23090,3
30;80;0;50;50;0,01;0,2;9;5;140;206,5;23727,1
30;80;0;50;50;0,01;0,2;10;5;140;204,2;23341,2
30;80;0;50;50;0,01;0,2;11;5;140;205,6;22241,9
30;80;0;50;50;0,01;0,2;12;5;140;204,8;23697,3
30;80;0;50;50;0,01;0,2;13;5;140;204,2;23297,4
30;80;0;50;50;0,01;0,2;14;5;140;205,8;25020,7
30;80;0;50;50;0,01;0,2;15;5;140;203,3;24612,9
30;80;0;50;50;0,01;0,2;4;5;140;208,9;22430,3
30;80;0;50;50;0,01;0,2;15;5;140;203;23745,6
30;80;0;50;50;0,01;0,2;16;5;140;203,3;25437
30;80;0;50;50;0,01;0,2;17;5;140;204,8;25802,5
30;80;0;50;50;0,01;0,2;18;5;140;204,2;25817,2
30;80;0;50;50;0,01;0,2;19;5;140;203,7;24884,3
30;80;0;50;50;0,01;0,2;20;5;140;203,5;25225,8
30;80;0;50;50;0,01;0,2;21;5;140;203,7;22572,6
30;80;0;50;50;0,01;0,2;22;5;140;203,7;24689,4
30;80;0;50;50;0,01;0,2;23;5;140;203;21962,3
30;80;0;50;50;0,01;0,2;2;5;140;211,1;21363,4
30;80;0;50;50;0,01;0,2;3;5;140;209;24148,6
30;80;0;50;50;0,01;0,05;15;5;140;204,4;27295,6
30;80;0;50;50;0,01;0,1;15;5;140;204,6;26571,3
30;80;0;50;50;0,01;0,2;15;5;140;203,6;23635,3
30;80;0;50;50;0,01;0,3;15;5;140;203,5;19704,4
30;80;0;50;50;0,01;0,4;15;5;140;203,8;17222,3
30;80;0;50;50;0,01;0,5;15;5;140;203,6;13107,8
30;80;0;50;50;0,01;0,6;15;5;140;206,4;10634,2
30;80;0;50;50;0,01;0,7;15;5;140;208,6;7796,2
30;80;0;50;50;0,01;0,8;15;5;140;210,5;5894
