m;n;err_count;population_size;iteration_cycles_count;mutation_probability;percent_of_parents_left_in_the_population;reproductive_pressure;number_of_extension_of_the_child;automatic_change_of_mutation_probability;downtime_length;tmp_mutation_probability;dlugosc_seq_opt;SredniaBestValue;SredniaTimeMs
30;80;0;50;100;0,0003;0,25;15;2;True;30;0,001;140;193,3;34891,1
30;80;0;100;500;0,0003;0,25;15;2;True;30;0,00075;140;181,4;202868,3
30;80;0;100;500;0,0003;0,25;15;2;True;40;0,00075;140;181,8;206961,3
30;80;0;100;500;0,0003;0,25;15;2;True;50;0,00075;140;178,2;207950,4
30;80;0;100;500;0,0003;0,25;15;2;True;60;0,00075;140;180,1;214582,2
30;80;0;100;500;0,0003;0,25;15;2;True;70;0,00075;140;179,3;221450
30;80;0;100;500;0,0003;0,25;15;2;True;80;0,00075;140;180,7;211469
30;80;0;100;500;0,0003;0,25;15;2;True;30;0,001;140;178,5;218617
30;80;0;100;500;0,0003;0,25;15;2;True;40;0,001;140;181,1;204015,5
30;80;0;100;500;0,0003;0,25;15;2;True;50;0,001;140;182,6;206371,4
30;80;0;100;500;0,0003;0,25;15;2;True;60;0,001;140;178,6;202886,1
30;80;0;100;500;0,0003;0,25;15;2;True;70;0,001;140;181,5;212273,7
30;80;0;100;500;0,0003;0,25;15;2;True;80;0,001;140;179,3;217422,9
30;80;0;100;500;0,0003;0,25;15;2;True;20;0,001;140;182;209752,5
30;80;0;100;500;0,0003;0,25;15;2;True;20;0,00075;140;181,6;217051,4
30;80;0;100;500;0,0003;0,25;15;2;True;20;0,002;140;181,3;221711,5
30;80;0;100;500;0,0003;0,25;15;2;True;30;0,002;140;179,7;225075,5
30;80;0;100;500;0,0003;0,25;15;2;True;40;0,002;140;176,6;223632,5
30;80;0;100;500;0,0003;0,25;15;2;True;50;0,002;140;181,8;203699,3
30;80;0;100;500;0,0003;0,25;15;2;True;60;0,002;140;179,7;216187
30;80;0;100;500;0,0003;0,25;15;2;True;70;0,002;140;178,9;205707,7
30;80;0;100;500;0,0003;0,25;15;2;True;80;0,002;140;178,8;205832,3
30;80;0;100;500;0,0003;0,25;15;2;True;20;0,003;140;177,9;216401,5
30;80;0;100;500;0,0003;0,25;15;2;True;30;0,003;140;177,1;212717,9
30;80;0;100;500;0,0003;0,25;15;2;True;40;0,003;140;177,9;222335,7
30;80;0;100;500;0,0003;0,25;15;2;True;50;0,003;140;181;218489,3
30;80;0;100;500;0,0003;0,25;15;2;True;60;0,003;140;181,3;222061,3
30;80;0;100;500;0,0003;0,25;15;2;True;70;0,003;140;178,1;209501,6
30;80;0;100;500;0,0003;0,25;15;2;True;80;0,003;140;180,8;213569,8
30;80;0;100;500;0,0003;0,25;15;2;True;20;0,004;140;174,6;239796,6
30;80;0;100;500;0,0003;0,25;15;2;True;30;0,004;140;179,7;239057,3
30;80;0;100;500;0,0003;0,25;15;2;True;40;0,004;140;180,9;222451,9
30;80;0;100;500;0,0003;0,25;15;2;True;50;0,004;140;177,2;248614,1
30;80;0;100;500;0,0003;0,25;15;2;True;60;0,004;140;177,8;220996,4
30;80;0;100;500;0,0003;0,25;15;2;True;70;0,004;140;178;216270,1
30;80;0;100;500;0,0003;0,25;15;2;True;80;0,004;140;179,1;222846,6
30;80;0;100;500;0,0003;0,25;15;2;True;20;0,002;140;177,9;214259,8
30;80;0;100;500;0,0003;0,25;15;2;True;20;0,005;140;180;229355,2
30;80;0;100;500;0,0003;0,25;15;2;True;30;0,005;140;177,3;260956,7
30;80;0;100;500;0,0003;0,25;15;2;True;40;0,005;140;181;233040,1
